member_id,og_id,name,party,house,startDate,endDate
2991,4299,Lord Verjee,Liberal Democrat,2.0,2013-09-17T00:00:00,
2992,4757,Shaun Bailey,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
2993,4125,Catherine McKinnell,Labour,1.0,2010-05-06T00:00:00,2015-03-30T00:00:00
2994,4125,Catherine McKinnell,Labour,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
2995,4125,Catherine McKinnell,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
2996,4125,Catherine McKinnell,Labour,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
2997,4528,James Heappey,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
2998,4528,James Heappey,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
2999,4528,James Heappey,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3000,2024,Lord Hunt of Kings Heath,Labour,2.0,1997-10-20T00:00:00,
3001,4827,Claire Hanna,Social Democratic & Labour Party,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3002,1922,The Duke of Montrose,Conservative,,1995-05-26T00:00:00,
3003,3958,Fiona Bruce,Conservative,1.0,2010-05-06T00:00:00,2015-03-30T00:00:00
3004,3958,Fiona Bruce,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
3005,3958,Fiona Bruce,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
3006,3958,Fiona Bruce,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3007,407,Ann Taylor,Labour,1.0,1974-10-10T00:00:00,2005-05-05T00:00:00
3008,407,Ann Taylor,Labour,1.0,2005-06-13T00:00:00,
3009,3969,Damian Hinds,Conservative,1.0,2010-05-06T00:00:00,2015-03-30T00:00:00
3010,3969,Damian Hinds,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
3011,3969,Damian Hinds,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
3012,3969,Damian Hinds,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3013,2471,Baroness Warwick of Undercliffe,Labour,2.0,1999-07-10T00:00:00,
3014,4827,Claire Hanna,Social Democratic & Labour Party,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3015,3651,Lord Triesman,Labour,2.0,2004-01-12T00:00:00,2019-07-09T00:00:00
3016,3651,Lord Triesman,Non-affiliated,2.0,2019-07-09T00:00:00,2020-06-16T00:00:00
3017,3651,Lord Triesman,Labour,2.0,2020-06-16T00:00:00,
3018,39,Mr John Whittingdale,Conservative,1.0,1992-04-09T00:00:00,2015-03-30T00:00:00
3019,39,Mr John Whittingdale,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
3020,39,Mr John Whittingdale,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
3021,39,Mr John Whittingdale,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3022,4757,Shaun Bailey,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
3023,4458,Conor McGinn,Labour,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
3024,4458,Conor McGinn,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
3025,4458,Conor McGinn,Labour,1.0,2019-12-12T00:00:00,2022-12-07T00:00:00
3026,4458,Conor McGinn,Independent,1.0,2022-12-07T00:00:00,2024-05-30T00:00:00
3027,693,Neil Kinnock,Labour,1.0,1970-06-18T00:00:00,1995-01-20T00:00:00
3028,693,Neil Kinnock,Labour,1.0,2005-01-28T00:00:00,
3029,3785,Baroness Thomas of Winchester,Liberal Democrat,2.0,2006-05-26T00:00:00,
3030,193,Siobhain McDonagh,Labour,1.0,1997-05-01T00:00:00,2015-03-30T00:00:00
